acreage,district,price
20.0,quận bình tân,2.2
20.0,quận 7,2.5
30.0,quận 7,3.5
30.0,quận 7,1.5
18.0,quận phú nhuận,3.5
15.0,quận phú nhuận,2.2
20.0,quận 3,4.5
16.0,quận 8,3.0
25.0,quận 3,4.5
18.0,quận phú nhuận,3.0
14.0,quận 6,2.5
18.0,quận 4,4.0
16.0,quận 4,2.7
9.0,quận 4,1.3
23.0,quận 4,4.5
24.0,quận 4,2.5
20.0,quận 4,2.0
19.0,quận 4,3.0
30.0,quận 7,4.0
35.0,quận 7,8.0
18.0,quận 7,3.0
25.0,quận 7,3.8
18.0,quận 7,2.2
25.0,quận 7,5.0
30.0,quận 7,5.5
25.0,quận 7,3.7
13.0,quận phú nhuận,2.5
14.0,quận phú nhuận,3.5
35.0,quận phú nhuận,7.0
30.0,quận phú nhuận,3.5
28.0,quận phú nhuận,4.7
25.0,quận phú nhuận,5.0
30.0,quận phú nhuận,5.0
15.0,quận 4,1.5
25.0,quận 4,3.5
30.0,quận 4,3.5
20.0,quận 4,3.0
12.0,quận 4,2.0
40.0,quận 4,3.5
35.0,quận 4,4.0
8.0,quận 4,2.0
34.0,quận 4,2.1
25.0,quận 4,4.0
28.0,quận 4,4.5
32.0,quận 4,4.5
16.0,quận 4,3.5
25.0,quận 4,4.5
35.0,quận phú nhuận,7.5
30.0,quận 4,1.5
9.0,quận 4,1.2
25.0,quận phú nhuận,6.0
20.0,quận 4,4.0
30.0,quận phú nhuận,5.5
20.0,quận phú nhuận,4.7
28.0,quận phú nhuận,5.9
35.0,quận phú nhuận,4.5
18.0,quận phú nhuận,3.8
20.0,quận phú nhuận,4.0
35.0,quận phú nhuận,4.3
25.0,quận 7,3.5
20.0,quận 7,3.0
20.0,quận 7,3.5
20.0,quận 7,3.6
30.0,quận 7,4.8
20.0,quận 7,3.2
15.0,quận 7,2.5
24.0,quận 7,2.8
25.0,quận 7,3.6
15.0,quận 7,2.3
20.0,quận 7,3.3
30.0,quận 7,4.7
20.0,quận 7,4.0
35.0,quận 10,6.0
13.0,quận 7,2.5
25.0,quận 10,3.9
28.0,quận 10,5.0
25.0,quận 7,3.0
30.0,quận 10,4.5
24.0,quận 7,2.6
16.0,quận 7,2.0
40.0,quận 7,4.0
33.0,quận 7,4.2
22.0,quận 7,4.0
30.0,quận 7,4.2
32.0,quận 7,4.0
20.0,quận 10,2.5
11.0,quận 10,2.5
12.0,quận 10,1.5
20.0,quận 10,3.8
25.0,quận 10,2.8
16.0,quận 10,2.3
25.0,quận 10,4.0
12.0,huyện nhà bè,1.6
20.0,huyện nhà bè,1.5
30.0,huyện nhà bè,3.5
22.0,huyện nhà bè,1.5
24.0,huyện nhà bè,3.7
20.0,huyện nhà bè,3.0
30.0,huyện nhà bè,4.2
20.0,huyện nhà bè,2.5
24.0,huyện nhà bè,1.8
32.0,huyện nhà bè,2.2
16.0,huyện nhà bè,1.8
18.0,quận bình tân,1.6
20.0,quận bình tân,2.5
40.0,huyện nhà bè,2.3
18.8,quận bình tân,1.7000000000000002
16.0,quận bình tân,1.2
15.0,quận bình tân,2.2
20.0,quận bình tân,1.5
25.0,quận bình tân,1.7000000000000002
12.0,quận bình tân,1.7000000000000002
18.0,quận bình tân,1.8
24.0,quận bình tân,2.0
16.0,quận bình tân,1.8
15.0,quận bình tân,2.0
25.0,quận bình tân,1.9
20.0,quận bình tân,2.0
16.0,quận bình tân,1.3
15.0,quận 4,2.5
25.0,quận 4,3.49
16.0,quận 4,1.5
32.0,quận 4,4.0
22.0,quận 4,3.8
30.0,quận 4,4.0
20.0,quận 6,2.5
25.0,quận 6,3.2
24.0,quận 6,3.3
24.0,quận 6,2.2
35.0,quận 6,3.2
30.0,quận 6,2.5
18.0,quận 6,2.3
20.0,quận 6,1.4
25.0,quận 6,3.0
20.0,quận 6,2.4
12.0,quận 6,1.5
12.0,quận 6,1.2
40.0,quận 6,4.5
20.0,quận 6,1.7000000000000002
24.0,quận 6,3.0
12.0,quận 6,1.3
17.0,quận 6,1.8
26.0,quận 6,3.5
18.0,quận 6,3.0
15.0,quận 6,1.8
28.0,quận 6,4.0
12.0,quận 6,1.8
30.0,quận 6,4.0
20.0,quận 6,2.3
32.0,quận 6,2.8
18.0,quận 6,1.8
36.0,quận 6,3.2
21.0,quận 6,3.2
16.0,quận 6,2.7
13.0,quận 6,1.7000000000000002
35.0,quận 6,4.0
18.0,quận 6,2.2
18.0,quận 6,2.6
12.0,quận 6,2.5
25.0,quận 6,3.5
20.0,quận 6,3.5
30.0,quận 6,1.6
12.0,quận 6,2.0
35.0,quận 6,3.0
16.0,quận 6,1.0
30.0,quận 6,3.5
20.0,quận 6,1.5
30.0,quận 6,3.6
30.0,quận 6,1.5
24.0,quận 6,1.8
28.0,quận 6,2.0
20.0,quận 6,1.6
40.0,quận 6,3.5
22.0,quận 6,1.8
30.0,quận 6,3.8
22.0,quận 6,1.7000000000000002
30.0,quận 8,3.0
20.0,quận 8,2.0
20.0,quận 8,2.3
20.0,quận 8,3.0
40.0,quận 8,3.5
20.0,quận 8,1.5
20.0,quận 8,3.5
20.0,quận 8,2.5
20.0,quận 8,1.8
20.0,quận 8,2.4
15.0,quận 8,1.7000000000000002
30.0,quận 8,2.0
24.0,quận 8,2.5
25.0,quận 8,1.9
20.0,quận 8,3.3
25.0,quận 8,2.5
40.0,quận 8,3.6
25.0,quận 8,3.0
18.0,quận 8,3.0
18.0,quận 8,1.0
25.0,quận 8,2.3
18.0,quận 8,1.3
14.0,quận 8,2.2
16.0,quận 8,1.6
12.0,quận 8,1.3
25.0,quận 8,3.5
27.0,quận 8,2.545
18.0,quận 8,2.2
18.0,quận 8,3.5
18.0,quận 8,2.1
18.0,quận 8,2.0
20.0,quận 8,2.8
25.0,quận 8,1.8
28.0,quận 8,3.2
24.0,quận 8,4.0
22.0,quận 8,1.8
18.0,quận 8,1.8
22.0,quận 8,2.5
35.0,quận 8,3.3
25.0,quận 8,2.6
21.0,quận 8,1.3
18.0,quận 6,2.5
30.0,quận 6,5.0
24.0,quận 6,3.5
16.0,quận 6,3.5
30.0,quận 6,3.0
30.0,quận 6,3.1
30.0,quận 3,3.0
22.0,quận 3,1.6
15.0,quận 3,3.3
18.0,quận 3,3.5
16.0,quận 3,3.0
25.0,quận 3,1.8
20.0,quận 3,3.5
18.0,quận 3,4.0
12.0,quận 3,2.0
20.0,quận 3,4.0
30.0,quận 3,6.5
35.0,quận 3,5.0
25.0,quận 3,4.0
20.0,quận 3,3.8
35.0,quận 3,5.5
30.0,quận 3,4.5
25.0,quận 3,3.5
13.0,quận 3,3.5
13.0,quận 3,3.3
30.0,quận 3,2.0
30.0,quận 3,5.0
13.0,quận 3,3.4
30.0,quận 3,6.0
20.0,quận 3,2.5
12.0,quận 3,3.3
20.0,quận 3,2.0
16.0,quận phú nhuận,4.0
20.0,quận phú nhuận,5.0
23.0,quận phú nhuận,3.6
16.0,quận phú nhuận,3.0
15.0,quận phú nhuận,2.5
22.0,quận phú nhuận,4.5
23.0,quận phú nhuận,3.4
12.0,quận phú nhuận,2.5
14.0,quận phú nhuận,2.0
25.0,quận phú nhuận,4.0
25.0,quận phú nhuận,5.5
20.0,quận phú nhuận,4.5
20.0,quận phú nhuận,3.5
21.0,quận phú nhuận,5.5
20.0,quận phú nhuận,5.5
18.0,quận phú nhuận,2.5
20.0,quận phú nhuận,2.6
20.0,quận phú nhuận,3.0
12.0,quận phú nhuận,1.7000000000000002
40.0,quận phú nhuận,5.5
20.0,quận phú nhuận,3.6
25.0,quận phú nhuận,3.5
22.0,quận phú nhuận,4.8
35.0,quận phú nhuận,5.0
15.0,quận phú nhuận,4.0
27.0,quận phú nhuận,5.0
9.0,quận 7,2.0
30.0,quận 7,4.5
20.0,quận phú nhuận,3.3
32.0,quận phú nhuận,3.9
17.0,quận phú nhuận,4.5
18.0,quận phú nhuận,5.0
